LÁITH.,CAITE,GH. CHAITE,FÁIS.,M. COINN.,M. FOSH. LÁ1TH.,M. ORD.,AINM BRIATH.,AIDIACHT BHRIATH.,,,,,
/ drink,/ drank,/ used to drink,/ shall drink,/ would drink,that I may drink,drink,drinking,drunk,,,,,
ólaim,d'ól mé,d'ólainn,ólfaidh mé,d'ólfainn,go n-óla mé,ólaim,ól,ólta,,,,,
ólann tú,d'ól tú,d'óltá,ólfaidh tú,d'ólfá,go n-óla tú,ól,,,,,,,
ólann sé,d'ól sé,d'óladh sé,ólfaidh sé,d'ólfadh sé,go n-óla sé,óladh sé,,,,,,,
ólaimid,d'ólamar,d'ólaimis,ólfaimid,d'ólfaimis,go n-ólaímid,ólaimis,,,,,,,
ólann sibh,d'ól sibh,d'óladh sibh,ólfaidh sibh,d'ólfadh sibh,go n-óla sibh,ólaigí,,,,,,,
ólann siad,d'ól siad,d'ólaidís,ólfaidh siad,d'ólfaidís,go n-óla siad,ólaidís,,,,,,,
Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,Sb.,,,,,,,
somebody drinks,somebody drank,sby. used to drink,somebody will drink,sby. would take,may sby. drink,let somebody drink,,,,,,,
óltar,óladh,d'óltaí,ólfar,d'ólfaí,go n-óltar,óltar,,,,,,,
Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,Diúltach,,,,,,,
he does not drink,he does not drink,he does not drink,he does not drink,he does not drink,he does not drink,he does not drink,,,,,,,
ní ólann sé,níor ól sé,ní óladh sé,ní ólfaidh sé,ní ólfadh sé,nár óla sé,ná hól,,,,,,,
Ceisteach,Ceisteach,Ceisteach,Ceisteach,Ceisteach,,,,,,,,,
does he drink?,did he drink?,used he drink?,will he drink?, would he drink?,,,,,,,,,
an ólann sé?,ar ól sé?,an óladh sé?,an ólfaidh sé,an ólfadh sé?   ,,,,,,,,,
,,,,,,,,,,,,,
Verbs similar to ÓL.,,,,,,,,,,,,,
Athdhiol   ,re-sell,athdhíolaim,,,,,,,,,,,
Atóg,re-construct,atógaim,,,,,,,,,,,
Athscríobh ,re-write,athscríobhaim,,,,,,,,,,,
íoc,pay,íocaim,,,,,,,,,,,
"NOTE In the ""Caite""  we put a D' before a verb beginning with a vowel or F except in the",,,,,,,,,,,,,
"Sb. form,",,,,,,,,,,,,,
e.g.  D'ól mé         D'fhág mé                but Sb. óladh       fágadh,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,